DataAcc	runID	sampleID	figS4E_j	figS4E_o	figS4E_0905		bname
176CS15	176C	S15		7			1489-22C-ZT10_S15_Ath-TAIR10_RPKM.bw
176CS4	176C	S4	6	6	8		1488-27C-ZT10_S4_Ath-TAIR10_RPKM.bw
176CS3	176C	S3	5	5	7		1488-22C-ZT10_S3_Ath-TAIR10_RPKM.bw
192CS2	192C	S2	4	4	6		1487-27-ZT10_S2_Ath-TAIR10_RPKM.bw
176CS1	176C	S1	3	3	5		1487-22C-ZT10_S1_Ath-TAIR10_RPKM.bw
189CS17	189C	S17	2	2	2		1469-gELF3-myc-elf3-1xELF4-ox-ZT10-27C_S17_RPKM.bw
189CS16	189C	S16	1	1	1		1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_RPKM.bw
165CS24	165C	S24					Weibing-INPUT-3_S24_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
165CS23	165C	S23					Weibing-INPUT-2_S23_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
165CS22	165C	S22					Weibing-INPUT-1_S22_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
165CS21	165C	S21					Weibing-8_S21_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
165CS20	165C	S20					Weibing-7_S20_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
165CS19	165C	S19					Weibing-6_S19_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
165CS18	165C	S18					Weibing-5_S18_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
182CS0	182C	S0					Undetermined_S0_RPKM.bw
151C_rerunS18	151C_rerun	S18					TP2-27_S18_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS15	151C_rerun	S15					TP2-27_S15_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
